window_start,window_end,plant_count,animal_count,fungi_count
2026-04-05 17:54:00,2026-04-05 17:56:00,2180,4718,232
2026-04-05 17:50:00,2026-04-05 17:52:00,2149,4783,216
2026-04-05 18:04:00,2026-04-05 18:06:00,522,1017,55
2026-04-05 18:02:00,2026-04-05 18:04:00,1874,3438,187
2026-04-05 17:48:00,2026-04-05 17:50:00,2240,4911,230
2026-04-05 17:52:00,2026-04-05 17:54:00,2176,4756,220
2026-04-05 17:58:00,2026-04-05 18:00:00,2141,4479,246
2026-04-05 17:46:00,2026-04-05 17:48:00,2089,4261,207
2026-04-05 18:00:00,2026-04-05 18:02:00,1875,3674,222
2026-04-05 17:56:00,2026-04-05 17:58:00,2109,4834,226
2026-04-05 17:44:00,2026-04-05 17:46:00,358,654,48
