window_start,window_end,species
2026-04-05 17:54:00,2026-04-05 17:56:00,6180
2026-04-05 17:50:00,2026-04-05 17:52:00,5998
2026-04-05 18:04:00,2026-04-05 18:06:00,1497
2026-04-05 18:02:00,2026-04-05 18:04:00,5192
2026-04-05 17:48:00,2026-04-05 17:50:00,6459
2026-04-05 17:52:00,2026-04-05 17:54:00,6203
2026-04-05 17:58:00,2026-04-05 18:00:00,5959
2026-04-05 17:46:00,2026-04-05 17:48:00,5852
2026-04-05 18:00:00,2026-04-05 18:02:00,5300
2026-04-05 17:56:00,2026-04-05 17:58:00,6051
2026-04-05 17:44:00,2026-04-05 17:46:00,1115
